#id,x,y
100,885029,7327477
1,886568,7327477
2,886495,7328870
3,885029,7328943
4,883563,7330482
5,883563,7329016
6,883489,7327624
7,886568,7326084
8,747033,7300391
9,745567,7299071
10,747106,7299145
11,745567,7300464
12,745567,7297532
13,747106,7302004
14,745493,7296139
15,748572,7302004
16,766092,7307941
17,764846,7307941
18,766459,7306548
19,763526,7308454
20,762207,7309554
21,768071,7308161
22,761914,7310873
23,768291,7309407
24,814693,7334697
25,816086,7333671
26,817698,7333305
27,816012,7335137
28,818945,7332205
29,819384,7330519
30,812934,7335064
31,811468,7334991
32,807949,7332058
33,806923,7330592
34,806996,7329126
35,808682,7328906
36,808609,7330299
37,805823,7327294
38,807216,7327367
39,808462,7327367
40,821970,7336379
41,822106,7338017
42,823745,7338154
43,823745,7339519
44,825247,7339519
45,825247,7341158
46,825110,7342387
47,825247,7343889
48,784421,7319994
49,784558,7321496
50,782919,7321496
51,783193,7320267
52,781554,7321633
53,781418,7320131
54,780052,7321496
55,780052,7319994
56,777185,7308115
57,778687,7308252
58,780189,7308115
59,782919,7307842
60,784831,7306613
61,787289,7305248
62,787289,7306750
63,787289,7308252
64,757523,7303882
65,758615,7305248
66,759844,7306340
67,755475,7302381
68,755885,7306340
69,757387,7307979
70,759571,7309207
71,754383,7300196
72,813095,7321360
73,813095,7319858
74,811320,7319994
75,809954,7320131
76,808452,7319858
77,807087,7320131
78,805312,7320267
79,809954,7321633
80,754519,7292754
81,756021,7292891
82,757523,7293028
83,757523,7291253
84,772406,7290160
85,772406,7291662
86,774317,7291389
87,853647,7340748
88,853237,7339519
89,852009,7339110
90,851804,7340748
91,830845,7325934
92,832347,7324568
93,834122,7324705
94,832483,7326343
95,770767,7291662
96,743459,7288522
97,743733,7290024
98,745644,7290024
99,747010,7288658
